Jahr,Baumart,Waldeigentum,Einschlagsursache,Einschlagsursache,Einschlagsursache,Einschlagsursache,Einschlagsursache,Einschlagsursache,,,,,,,,
,,,Wind/Sturm,Schnee/Duft,Insekten,Trockenheit,Sonstiges,Insgesamt,,,,,,,,
2011,Kiefer und L�rche,Insgesamt,196,6,1177,6,45,0,-,134,0,1553,3,,,
2011,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Staatswald (Bundes- und Landeswald),458,7,600,7,344,2,-,68,3,1471,9,
2011,Fichte und Tanne und Douglasie und sonstiges Nadelholz,K�rperschaftswald,487,8,119,5,398,9,-,58,1,1064,2,
2011,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Privatwald,482,9,722,9,358,3,-,120,7,1684,8,
2011,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Insgesamt,1429,4,1443,1,1101,4,-,247,1,4221,0,
2011,Insgesamt,Staatswald (Bundes- und Landeswald),641,6,890,4,372,0,-,233,6,2137,7,,,
2011,Insgesamt,K�rperschaftswald,665,1,162,6,421,8,-,172,4,1421,9,,,
2011,Insgesamt,Privatwald,689,3,1607,7,400,4,-,225,7,2923,0,,,
2011,Insgesamt,Insgesamt,1996,0,2660,7,1194,2,-,631,6,6482,5,,,
2012,Eiche und Roteiche,Staatswald (Bundes- und Landeswald),14,5,0,6,15,4,-,43,3,73,8,,,
2012,Eiche und Roteiche,K�rperschaftswald,20,0,0,3,7,6,-,20,1,48,0,,,
2012,Eiche und Roteiche,Privatwald,25,5,3,8,10,3,-,27,2,66,8,,,
2012,Eiche und Roteiche,Insgesamt,59,9,4,7,33,4,-,90,5,188,6,,,
2012,Buche und sonstiges Laubholz,Staatswald (Bundes- und Landeswald),79,9,6,7,4,9,-,94,6,186,2,,,
2012,Buche und sonstiges Laubholz,K�rperschaftswald,51,6,2,2,2,6,-,88,8,145,2,,,
2012,Buche und sonstiges Laubholz,Privatwald,146,0,22,9,6,4,-,139,1,314,4,,,
2012,Buche und sonstiges Laubholz,Insgesamt,277,6,31,9,13,9,-,322,5,645,7,,,
2012,Kiefer und L�rche,Staatswald (Bundes- und Landeswald),75,1,106,7,11,4,-,78,9,272,1,,,
2012,Kiefer und L�rche,K�rperschaftswald,31,5,21,9,5,6,-,21,9,81,0,,,
2012,Kiefer und L�rche,Privatwald,91,0,304,6,26,0,-,42,6,464,2,,,
2012,Kiefer und L�rche,Insgesamt,197,7,433,2,43,0,-,143,4,817,3,,,
2012,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Staatswald (Bundes- und Landeswald),724,8,69,0,239,4,-,103,7,1137,0,
2012,Fichte und Tanne und Douglasie und sonstiges Nadelholz,K�rperschaftswald,450,7,15,7,214,0,-,54,6,735,0,
2012,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Privatwald,730,7,189,2,325,8,-,120,7,1366,4,
2012,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Insgesamt,1906,2,273,9,779,3,-,279,0,3238,4,
2012,Insgesamt,Staatswald (Bundes- und Landeswald),894,4,183,1,271,2,-,320,4,1669,1,,,
2012,Insgesamt,K�rperschaftswald,553,8,40,1,229,9,-,185,3,1009,1,,,
2012,Insgesamt,Privatwald,993,3,520,5,368,5,-,329,5,2211,8,,,
2012,Insgesamt,Insgesamt,2441,4,743,7,869,6,-,835,3,4890,0,,,
